Locus stats for file A by pct of LocusClassification
File	LocusClassification	alt-identical	ploidy-mismatch;ploidy-mismatch	ref-identical;alt-identical	alt-consistent	alt-identical;alt-identical	ploidy-mismatch	phase-mismatch;phase-mismatch	alt-identical;onlyA	ref-consistent;onlyA	ref-identical;onlyB	other	total
A	hap-del	50.00%	0.00%	0.00%	50.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	100.00%
A	hap-ins	50.00%	0.00%	0.00%	50.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	100.00%
A	hap-snp	100.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	100.00%
A	hap-sub	0.00%	0.00%	0.00%	100.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	100.00%
A	het-del	0.00%	0.00%	100.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	100.00%
A	het-ins	0.00%	0.00%	100.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	100.00%
A	het-snp	0.00%	72.22%	27.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	100.00%
A	het-sub	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	100.00%	0.00%	0.00%	0.00%	0.00%	100.00%
A	hom-ins	0.00%	50.00%	0.00%	0.00%	50.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	100.00%
A	hom-snp	0.00%	66.67%	0.00%	0.00%	16.67%	0.00%	0.00%	16.67%	0.00%	0.00%	0.00%	100.00%
A	no-call-snp	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	100.00%	0.00%	0.00%	100.00%
A	total	29.79%	38.30%	14.89%	6.38%	4.26%	0.00%	2.13%	2.13%	2.13%	0.00%	0.00%	100.00%

Locus stats for file B by pct of LocusClassification
File	LocusClassification	alt-identical	ploidy-mismatch;ploidy-mismatch	ref-identical;alt-identical	alt-consistent	alt-identical;alt-identical	ploidy-mismatch	phase-mismatch;phase-mismatch	alt-identical;onlyA	ref-consistent;onlyA	ref-identical;onlyB	other	total
B	hap-del	50.00%	0.00%	0.00%	0.00%	0.00%	50.00%	0.00%	0.00%	0.00%	0.00%	0.00%	100.00%
B	hap-ins	100.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	100.00%
B	hap-snp	85.71%	0.00%	0.00%	0.00%	0.00%	14.29%	0.00%	0.00%	0.00%	0.00%	0.00%	100.00%
B	het-del	0.00%	0.00%	100.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	100.00%
