#ASSEMBLY_ID	GS19240-180-36-21-ASM
#FORMAT_VERSION	1.3
#GENERATED_AT	2010-Jul-14 14:19:17.312452
#GENERATED_BY	exportTools
#LIBRARY	GS00648-CLS_C05
#SAMPLE	GS00028-DNA_C01
#SOFTWARE_VERSION	1.8.0.23
#TYPE	LIB-DNB

>id	type	armId	indArm	objArm	min	max
0	read	0	0	0	5	5
1	gap	0	1	0	-4	1
2	read	0	2	1	10	10
3	gap	0	3	1	0	3
4	read	0	4	2	10	10
5	gap	0	5	2	3	8
6	read	0	6	3	10	10
7	mategap	0	7	0	129	655
8	read	1	0	0	10	10
9	gap	1	1	0	3	8
10	read	1	2	1	10	10
11	gap	1	3	1	0	3
12	read	1	4	2	10	10
13	gap	1	5	2	-4	1
14	read	1	6	3	5	5
